공모명,분야,주최 기관,조회수,링크,이미지,응모대상,접수기간,1등 상금,홈페이지
청주오스코 슬로건 아이디어 & MICE 행사 기획 공모전신규SPECIAL,"분야 : 기획/아이디어, 광고/마케팅, 논문/리포트, 네이밍/슬로건, 대외활동/서포터즈",청주오스코,352,?c=find&s=1&gub=1&gbn=view&gp=1&ix=93556,/upload/contest/20241122100706_f2dd5c74.jpg,제한없음,2024-11-25 ~ 2024-12-15,150만원,https://osco.or.kr/cs-center/notice/?uid=15&mod=document
컴투스 글로벌 게임개발 공모전 컴:온 2024SPECIAL,"분야 : 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 대외활동/서포터즈","컴투스, 게임문화재단","2,517",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93476,/upload/contest/20241118232024_31cc7f31.jpg,"일반인, 대학생, 청소년, 기타",2024-11-19 ~ 2024-12-30,"2,000만원",https://www.com2us.com/gamecontest
[타임금융교육원] 금융실무과정 88기 모집SPECIAL,"분야 : 광고/마케팅, 예체능/미술/음악, 대외활동/서포터즈, 취업/창업, 기타",타임금융교육원,"5,900",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93413,/upload/contest/20241115135206_62c447bf.jpg,"일반인, 대학생, 기타",2024-11-15 ~ 2024-11-25,,https://cafe.naver.com/jinstudy2013
[무료] 2025 삼성 Financial Networks 금융연수프로그램 7기 모집SPECIAL,"분야 : 기획/아이디어, 광고/마케팅, 대외활동/서포터즈, 취업/창업, 기타",삼성생명,"7,775",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93355,/upload/contest/20241113100004_27bb56f4.jpg,"일반인, 대학생, 기타",2024-11-11 ~ 2024-12-13,,https://app.catchsecu.com/project/cc89c286ff8debe/form
2025 제3회 ChunMan Art for Young 공모전 (천만 아트 포 영 2025 : 시각예술 전 분야)SPECIALIDEA,"분야 : 영상/UCC/사진, 웹/모바일/IT, 예체능/미술/음악, 기타",재단법인 천만장학회,"9,282",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93288,/upload/contest/20241110234706_7d4c6f45.jpg,"일반인, 대학생, 기타",2024-10-14 ~ 2024-12-30,"1,000만원",https://cay.or.kr/about/about_01.php
제29회 농민신문 신춘문예 작품 공모전SPECIAL,"분야 : 기획/아이디어, 논문/리포트, 문학/글/시나리오, 예체능/미술/음악, 기타",농민신문,"11,401",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93206,/upload/contest/20241106160457_7fabca3f.jpg,제한없음,2024-09-23 ~ 2024-11-29,500만원,https://www.nongmin.com/article/20240920500607
한국로타리 백주년기념회 백주년 기념 봉사사업 아이디어 공모전SPECIALIDEA,"분야 : 기획/아이디어, 광고/마케팅, 예체능/미술/음악, 대외활동/서포터즈, 봉사활동",한국로타리,"11,616",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93189,/upload/contest/20241106015216_5821ab15.png,제한없음,2024-11-01 ~ 2024-12-10,500만원,http://www.rotarykorea100.com/?c=5&s=&gp=1&gbn=viewok&ix=28
[CJ CGV(주)/(주)쇼박스/(주)MBC플러스] 영화/드라마등 콘텐츠 과몰입러가 90일만에 대기업 2곳에서 1+1 직무스펙 인정받고 취업하는 가장 빠른 방법!SPECIAL,"분야 : 기획/아이디어, 광고/마케팅, 대외활동/서포터즈, 취업/창업, 기타",스포츠조선,"15,403",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93105,/upload/contest/20241104075150_b4465f49.png,"일반인, 대학생, 기타",2024-11-04 ~ 2024-11-24,,https://blog.naver.com/sportschosunedu/223645667760
"[무료] 25년 엠금융서비스의 MFE (M Finance Expert) (현직자 멘토링, 수료증 발급)SPECIAL","분야 : 기획/아이디어, 광고/마케팅, 대외활동/서포터즈, 취업/창업, 기타",엠금융서비스,"14,694",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93102,/upload/contest/20241106111648_c966260e.jpg,"일반인, 대학생, 기타",2024-11-04 ~ 2024-11-29,,https://naver.me/FoEaxNPn
2024 해양산업 ESG경영대상 공모전SPECIAL,"분야 : 기획/아이디어, 광고/마케팅, 논문/리포트, 과학/공학, 건축/건설/인테리어",한국해양진흥공사,"16,153",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93081,/upload/contest/20241101185845_18b11f28.jpg,"일반인, 대학생, 기타",2024-10-31 ~ 2024-11-27,300만원,https://www.kobc.or.kr/ebz/kor/bbs/view.do?mId=0505010000&bIdx=96470&ptIdx=241
제 5 회 포스텍 SF 어워드 공모전SPECIALIDEA,"분야 : 기획/아이디어, 광고/마케팅, 웹/모바일/IT, 과학/공학, 문학/글/시나리오",포스텍 소통과 공론 연구소,"18,285",?c=find&s=1&gub=1&gbn=view&gp=1&ix=93072,/upload/contest/20241101114357_e254fb79.jpg,"대학생, 기타",2024-10-07 ~ 2025-01-12,500만원,http://icp.postech.ac.kr/bbs/board.php?tbl=bbs72&mode=VIEW&num=28
[곰랩x땅땅치킨] 우리 반 편집했S 영상 콘테스트 공모전SPECIAL,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 예체능/미술/음악, 대외활동/서포터즈, 기타",곰앤컴퍼니,"22,979",?c=find&s=1&gub=1&gbn=view&gp=1&ix=92976,/upload/contest/20241028234447_972bb54d.png,"청소년, 어린이, 기타",2024-10-28 ~ 2024-11-28,50만원,https://www.gomlab.com/event/page/ORG060-493
제2회 세대공감 영상자서전 콘테스트 (삶이 역사다)SPECIAL,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 예체능/미술/음악, 대외활동/서포터즈, 봉사활동",충청북도,"21,487",?c=find&s=1&gub=1&gbn=view&gp=1&ix=92938,/upload/contest/20241027224325_e2aa423b.jpg,"제한없음, 기타",2024-10-14 ~ 2024-12-05,200만원,http://www.cbsilver.or.kr/
[인사팀추천] 가전제품 대기업 5곳과 마케팅/제품기획/프로모션 실무협업하기SPECIAL,"분야 : 기획/아이디어, 광고/마케팅, 대외활동/서포터즈, 취업/창업, 기타",IT동아,"24,908",?c=find&s=1&gub=1&gbn=view&gp=1&ix=92924,/upload/contest/20241112234434_a8a5d5bb.jpg,"일반인, 대학생, 기타",2024-10-25 ~ 2024-11-27,,https://blog.naver.com/itd_project/223633336266
2024 국민건강보험 숏츠/릴스 영상 공모전SPECIALIDEA,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 예체능/미술/음악, 대외활동/서포터즈",국민건강보험,"25,813",?c=find&s=1&gub=1&gbn=view&gp=1&ix=92898,/upload/contest/20241025092121_41bce208.jpg,제한없음,2024-10-25 ~ 2024-11-22,300만원,https://nhisshortform.com/
2025년 [미래에셋금융서비스] TAMS 글로벌 금융인 양성과정 모집SPECIAL,"분야 : 기획/아이디어, 광고/마케팅, 대외활동/서포터즈, 취업/창업, 기타",미래에셋금융서비스,"29,836",?c=find&s=1&gub=1&gbn=view&gp=1&ix=92716,/upload/contest/20241018001257_3a5823e2.jpg,"일반인, 대학생, 기타",2024-10-28 ~ 2024-11-29,,https://naver.me/F5DgUtFb
2024 백억커피 영상 공모전SPECIAL,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 예체능/미술/음악, 대외활동/서포터즈",오가다,"39,547",?c=find&s=1&gub=1&gbn=view&gp=1&ix=92519,/upload/contest/20241011160819_74b70edf.jpg,제한없음,2024-09-23 ~ 2024-11-22,800만원,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=92519
2024년 한국인터넷진흥원 지역공부방 봉사 대학생 모집신규,분야 : 봉사활동,한국인터넷진흥원,63,?c=find&s=1&gub=1&gbn=view&gp=1&ix=93553,/upload/contest/20241122003431_da64e4df.jpg,대학생,2024-11-18 ~ 2024-11-27,100만원,https://www.kisa.or.kr/401/form?postSeq=3398&page=1
국제사이버대학교 K-컬처학부 숏폼 영상 공모전,분야 : 영상/UCC/사진,국제사이버대학교,120,?c=find&s=1&gub=1&gbn=view&gp=1&ix=93551,/upload/contest/20241121154113_991f704e.jpg,제한없음,2024-11-25 ~ 2025-01-13,100만원,https://www.gjcu.ac.kr/05_uniLife/showBoardDetail?code=C0&num=67319
스마트경로당 세대공감 콘텐츠 경진대회,분야 : 광고/마케팅,홍천군 스마트경로당 사업단,112,?c=find&s=1&gub=1&gbn=view&gp=1&ix=93550,/upload/contest/20241121153507_e3c29991.jpg,제한없음,2024-11-21 ~ 2024-12-16,100만원,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93550
Battle of the Books 영어 독서 퀴즈 대회,분야 : 기타,당근영어 주니어,84,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93545,/upload/contest/20241121152831_36211562.jpg,"어린이, 기타",2024-11-21 ~ 2024-11-29,,https://carrotjunior.kr/phone/bbs_event_view/535
제39회 창작국악동요 작품 공모전,분야 : 예체능/미술/음악,국립국악원,35,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93538,/upload/contest/20241122012241_3210db8c.jpg,제한없음,2025-02-04 ~ 2025-02-06,300만원,https://www.gugak.go.kr/site/program/board/basicboard/view?menuid=001005006001&pagesize=10&boardtypeid=58&boardid=46210&lang=ko
(가칭)감각통합지원센터 명칭 공모전,분야 : 네이밍/슬로건,홍성군,118,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93537,/upload/contest/20241122011733_2b13b136.jpg,제한없음,2024-11-13 ~ 2024-11-26,30만원,https://www.hongseong.go.kr/prog/saeolGosi/kor/sub03_0204/all/view.do?notAncmtMgtNo=38626
2024년도 제14회 국제기구 체험수기 공모전,분야 : 기타,외교부 국제기구인사센터,38,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93536,/upload/contest/20241122011258_2776862b.jpg,기타,2024-11-15 ~ 2024-12-15,30만원,https://unrecruit.mofa.go.kr/new/overview/contest.jsp
2025년 KOEN Together 사회공헌사업 대국민공모,분야 : 봉사활동,한국남동발전,47,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93535,/upload/contest/20241122005201_558a2644.jpg,제한없음,2024-11-18 ~ 2024-12-27,,https://blog.naver.com/ndkosep/223664599940
2024 글로벌 인플루언서 엑스포 서포터즈 모집,분야 : 대외활동/서포터즈,"사단법인 대한인플루언서협회, 크리에이터링(주)",377,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93534,/upload/contest/20241120201407_de65d33a.jpg,제한없음,2024-11-20 ~ 2024-11-29,,https://giexpo.co.kr/
신세계백화점 커뮤니티 대학생 서포터즈 2기 모집,분야 : 대외활동/서포터즈,(주)신세계,478,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93530,/upload/contest/20241120195917_5bda4847.jpg,대학생,2024-11-18 ~ 2024-12-01,,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93530
2024년 물류데이터 활용 신규 서비스 공모전,분야 : 기획/아이디어,대전정보문화산업진흥원,252,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93529,/upload/contest/20241120191150_c07f20ef.jpg,제한없음,2024-11-25 ~ 2024-11-28,300만원,https://www.dicia.or.kr/sub.do?menuIdx=MENU_000000000000056&contentSubMode=view&nttIdx=6qE90w62B1miq4AigeY%2bK4QZw8ZtK%2fChHA6oZs6uY64%3d
제2기 문화체육관광부 2030자문단 단원 모집,분야 : 대외활동/서포터즈,문화체육관광부,421,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93524,/upload/contest/20241120232437_b2a36aba.jpg,"일반인, 대학생, 기타",2024-11-18 ~ 2024-11-27,,https://www.2030db.go.kr/user/ntt/BBS_0000000000000005/NTT_0000000000000325/selectNttDetail.do
제2기 개인정보보호위원회 2030 자문단 모집,분야 : 대외활동/서포터즈,개인정보보호위원회,169,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93523,/upload/contest/20241120231639_b9ddc50e.jpg,"일반인, 대학생, 기타",2024-11-14 ~ 2024-11-29,,https://www.2030db.go.kr/user/ntt/BBS_0000000000000005/NTT_0000000000000322/selectNttDetail.do
성동구 2024 아동권리 그림 공모전,분야 : 예체능/미술/음악,성동구,127,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93522,/upload/contest/20241120231058_29f4f78d.jpg,기타,2024-11-18 ~ 2024-12-05,,https://www.sd.go.kr/main/selectBbsNttView.do?key=1473&bbsNo=184&nttNo=342418&integrDeptCode=30301760000
2024 헤이루미 테이블웨어 디자인 공모전,분야 : 디자인/캐릭터/웹툰,니즈,282,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93520,/upload/contest/20241120225646_b8442585.jpg,제한없음,2024-11-04 ~ 2024-12-13,100만원,https://www.instagram.com/p/DB7gi1hS3mu/?img_index=1
2024 서울 청년수당 사진 수기 공모전,분야 : 기타,서울광역청년센터,84,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93519,/upload/contest/20241120223431_8a8ad693.jpg,기타,2024-11-14 ~ 2024-11-28,,https://www.smyc.kr/program/?idx=127366431&bmode=view
제2회 한국가요작가협회 가요제,분야 : 예체능/미술/음악,한국가요작가협회,114,?c=find&s=1&gub=1&gbn=view&gp=2&ix=93518,/upload/contest/20241120222601_3f550c68.jpg,제한없음,2024-10-16 ~ 2024-11-25,200만원,https://gayotv.co.kr/index.php?menu_code1=3&menu_code2=240&menu_code3=&board_mode=list&board_no=&board_search_keyword=&board_page=1&board_search_head_word=&board_search_part=title&board_mode=view&board_no=2563
